,description
145,"This is fruity and ripe, forward and round, with appealing tropical fruit flavors. There's moderate, but adequate, acidity, and the flavors are rounded off with a toasty note from aging 10 months in 30% new French oak. Drink this now through 2018."
146,"Lush in winemaker Brian Loring's preferred style, this wine shows roasted cashews, seared lemons and baked apples on the nose. There's a walnut-oil quality to the palate, which is chewy and fat but not overreaching, with touches of tonic, cinnamon and caramel."
147,"Freshness and a light herbaceous note carry this medium-bodied wine from the aroma through the flavors and to the finish. While it's is a touch sweet, bright citrus and lively green notes keep the wine balanced and appetizing."
148,"Caressed in forested earthiness, this wine is both crisp in acidity and creamy in baked apple and crème brûlée, a layering of lemon meringue on top. It is integrated and balanced up until the finish, where a firm grip of oak takes hold."
149,"This well-known California brand is gently dipping its toe into Oregon. This is a sturdy, well-crafted effort with an interesting mix of kiwi, lime and pear fruit, wrapped in biscuity barrel flavors. Seamlessly smooth, it offers enough acidity to keep everything balanced."
150,"Searingly crisp and yet generous and intense, this Chardonnay from one of grower Ulises Valdez's prime properties is muscular and expansive, rich in apple and honey and a seasoning of mouth-tingling spice. It exemplifies California exuberance. Let it breathe for a while, or age 2020–2025."
151,"High-toned acidity rules the day here, the wine a tempting mélange of fresh grapefruit, lemon and apple, the texture smooth and succulent. The flavors are long lasting and complex."
152,"From vines grown in decomposed quartz and limestone at 2,300 feet on the eastern side of the Salinas Valley, this presents nose-tickling aromas of squeezed lemon, flint and roasted apple. It's juicy and well-oaked on the palate, with vanilla, lemon and pear qualities set against a tropical fruit canvas that centers on guava."
153,"Made in a drier, tarter style than the winery's Russian River bottling, this Chard favors elegance over opulence. It's streamlined and crisp, with subtle notes of green apples, kumquats and honey, gently touched by smoky oak."
154,"Note the remarkably low alcohol! Not surprisingly, this is a searingly tart wine, the acidity further emphasized by stainless steel fermentation and aging. Nonetheless, flavors are rich and deep, a lemon and grapefruit explosion that seems to demand raw oysters. Definitely a wine for acid lovers."
155,"This is an oaky Chardonnay, but the oak has been nicely integrated. The buttered toast notes complement the tropical fruit, peach and lemon-lime contributions of the grapes. Excellent acidity completes the balance."
156,"Fennel, oak, apple and pear notes blend together in this full-bodied wine with robust structure and richness. Crème brûlée flavors join ginger and nutmeg elements, as the acidity refreshes and rewards."
157,"This supple, seductive and sublime white is tart with acidity and bolstered by supportive oak. Pear, quince and an underlying hint of apple blossom combine in a lovely and focused expression on the palate that feels at once classic and balanced."
158,"Toasted pastry-crust and macadamia nut notes frame core aromas of white orchard fruits. The palate tastes concentrated and feels round, and snappy acids invigorate the finish."
159,"With a motto of “affordable luxury,” Layer Cake sources Chardonnay fruit from the fringes of pricey appellations. In this case it draws from Monterey County vineyards near the Santa Lucia Highlands and Santa Barbara County vineyard between the Santa Maria Valley and the Sta. Rita Hills. The results are solid for the price, with expressive aromas of honeydew and vanilla soda, and a palate of juicy melon and toasted oak. It is slightly boozy, so very much in the cocktail style, and is not for those afraid of oak."
160,"The melon, pear, tropical fruit and almond butter aromas are bright and effusive, while the flavors are considerably more delicate and subdued, showing a lovely sense of nuance and tension. It doesn't quite all come together but provides plenty of intrigue."
161,"Muted on the nose, this offers shy notes of anise and fennel that arises out of the glass over time, buoyed by a generous proportion of golden apple and honey. It veers briny around the full-bodied finish."
162,"Apple blossom, lemon butter and white peach aromas show on the nose of this very clean and crisp bottling. There is solid acidity and grippy texture to the palate, where sea salt, caramel apple and more white peach flavors arise. Great sizzle on the finish."
163,Pressed apple and pear notes are brightened by a kiss of yellow cherries and lemon in this delicate wine. The palate has a pleasant roundness despite its light-bodied frame. The finish is brisk.
164,"The very lively nose blends milky marzipan, ruby-red grapefruit juice, ripe nectarine and rain on concrete. Given those dynamics, the palate isn't as compelling, presenting apple, pear, orange peel, lemon juice and a vanilla-custard finish."
165,"The bright yellow gold color, familiar aromas of buttered toast, and ripe apple and pear flavors add up to a well-made and well-rounded wine. It's a lighter version of a classic, being medium-bodied and soft on the palate."
166,"Layers of smoke, dark toast and nuts lend a distinctly savory feel. This wine is refreshingly brisk on the palate, marked by delicate touches of pressed apple and pear that linger through the finish."
167,"A strong, toasted, smoky aroma and charred oak flavors define this medium-bodied, rich-textured wine. Not exactly light on its feet, but fans of oak will appreciate the bold, toasty, buttery character."
168,"Spicy acidity and a refreshing lift of lemon verbena highlight this unoaked wine, framing its medium body and lemon verbena, mandarin orange and grapefruit peel flavors."
169,"Consistent with past releases, this estate-grown effort includes Dijon 76 and 95 clonal material, planted in 1995. It's toasty in both nose and taste, with a tight core of green-berry, apple and banana fruit. As it breathes open there's a dollop of cream, just enough to smooth out the finish."
170,"Richly layered, the nose offers pan-fried apples, butter, vanilla, cinnamon brioche, fleshy peach and roasted nuts. The palate is action-packed with brown spice, juicy lemons and ripe cherimoya, bound by prominent acidity. Be forewarned that the wine grows overripe hours after opening."
171,"A big but mild-mannered wine, this has subtle oak and butter aromas plus ripe pear, butterscotch and white-peach flavors. A nicely thick texture carries all the complexity through the finish."
